75 2138
Alfredo_Gaspar Beto_Richa 1
Alfredo_Gaspar Cabo_Gilberto_Silva 2
Alfredo_Gaspar Capitão_Alberto_Neto 2
Alfredo_Gaspar Caroline_de_Toni 2
Alfredo_Gaspar Coronel_Meira 2
Alfredo_Gaspar Delegado_Éder_Mauro 2
Alfredo_Gaspar Delegado_Ramagem 3
Alfredo_Gaspar Diego_Garcia 2
Alfredo_Gaspar Gerlen_Diniz 2
Alfredo_Gaspar Gilson_Marques 3
Alfredo_Gaspar Jorge_Goetten 3
Alfredo_Gaspar José_Nelto 2
Alfredo_Gaspar Lafayette_de_Andrada 1
Alfredo_Gaspar Lucas_Redecker 1
Alfredo_Gaspar Marangoni 1
Alfredo_Gaspar Marcos_Pollon 2
Alfredo_Gaspar Mauricio_Marcon 1
Alfredo_Gaspar Pastor_Eurico 1
Alfredo_Gaspar Pr._Marco_Feliciano 1
Alfredo_Gaspar Roberto_Duarte 3
Alfredo_Gaspar Robinson_Faria 2
Alfredo_Gaspar Rosângela_Moro 3
Alfredo_Gaspar Rosângela_Reis 3
Alfredo_Gaspar Yandra_Moura 1
Alfredo_Gaspar Yury_do_Paredão 1
Alfredo_Gaspar Chris_Tonietto 1
Alfredo_Gaspar Cobalchini 2
Alfredo_Gaspar Coronel_Fernanda 2
Alfredo_Gaspar Covatti_Filho 1
Alfredo_Gaspar Delegado_Marcelo_Freitas 2
Alfredo_Gaspar Deltan_Dallagnol 2
Alfredo_Gaspar Felipe_Francischini 1
Alfredo_Gaspar João_Leão 1
Alfredo_Gaspar Julia_Zanatta 2
Alfredo_Gaspar Nicoletti 2
Alfredo_Gaspar Zé_Haroldo_Cathedral 2
Alfredo_Gaspar Arthur_Oliveira_Maia 1
Alfredo_Gaspar Átila_Lira 1
Alfredo_Gaspar Capitão_Augusto 1
Alfredo_Gaspar Fabio_Garcia 1
Alfredo_Gaspar Fausto_Santos_Jr. 1
Alfredo_Gaspar Marcelo_Crivella 1
Beto_Richa Alfredo_Gaspar 1
Beto_Richa Cabo_Gilberto_Silva 1
Beto_Richa Capitão_Alberto_Neto 1
Beto_Richa Caroline_de_Toni 1
Beto_Richa Coronel_Meira 1
Beto_Richa Delegado_Éder_Mauro 1
Beto_Richa Delegado_Ramagem 1
Beto_Richa Diego_Garcia 1
Beto_Richa Gerlen_Diniz 1
Beto_Richa Gilson_Marques 1
Beto_Richa Jorge_Goetten 1
Beto_Richa José_Nelto 1
Beto_Richa Lafayette_de_Andrada 1
Beto_Richa Lucas_Redecker 1
Beto_Richa Marangoni 1
Beto_Richa Marcos_Pollon 1
Beto_Richa Mauricio_Marcon 1
Beto_Richa Pastor_Eurico 1
Beto_Richa Pr._Marco_Feliciano 1
Beto_Richa Roberto_Duarte 1
Beto_Richa Robinson_Faria 1
Beto_Richa Rosângela_Moro 1
Beto_Richa Rosângela_Reis 1
Beto_Richa Yandra_Moura 1
Beto_Richa Yury_do_Paredão 1
Cabo_Gilberto_Silva Alfredo_Gaspar 2
Cabo_Gilberto_Silva Beto_Richa 1
Cabo_Gilberto_Silva Capitão_Alberto_Neto 2
Cabo_Gilberto_Silva Caroline_de_Toni 2
Cabo_Gilberto_Silva Coronel_Meira 2
Cabo_Gilberto_Silva Delegado_Éder_Mauro 2
Cabo_Gilberto_Silva Delegado_Ramagem 3
Cabo_Gilberto_Silva Diego_Garcia 2
Cabo_Gilberto_Silva Gerlen_Diniz 1
Cabo_Gilberto_Silva Gilson_Marques 2
Cabo_Gilberto_Silva Jorge_Goetten 2
Cabo_Gilberto_Silva José_Nelto 1
Cabo_Gilberto_Silva Lafayette_de_Andrada 1
Cabo_Gilberto_Silva Lucas_Redecker 1
Cabo_Gilberto_Silva Marangoni 1
Cabo_Gilberto_Silva Marcos_Pollon 1
Cabo_Gilberto_Silva Mauricio_Marcon 1
Cabo_Gilberto_Silva Pastor_Eurico 1
Cabo_Gilberto_Silva Pr._Marco_Feliciano 1
Cabo_Gilberto_Silva Roberto_Duarte 2
Cabo_Gilberto_Silva Robinson_Faria 1
Cabo_Gilberto_Silva Rosângela_Moro 2
Cabo_Gilberto_Silva Rosângela_Reis 2
Cabo_Gilberto_Silva Yandra_Moura 1
Cabo_Gilberto_Silva Yury_do_Paredão 1
Cabo_Gilberto_Silva Chris_Tonietto 1
Cabo_Gilberto_Silva Cobalchini 2
